pipeline,classifier,fold,accuracy,sensitivity,specificity,auc_roc,baseline_accuracy,best_params
Athena,SVM,0,0.6304347826086957,0.6,0.6477272727272727,0.6865909090909091,0.6376811594202898,{'C': 0.01}
Athena,SVM,1,0.572463768115942,0.5,0.6136363636363636,0.600909090909091,0.6376811594202898,{'C': 1}
Athena,SVM,2,0.6277372262773723,0.66,0.6091954022988506,0.6680459770114943,0.635036496350365,{'C': 0.01}
Athena,SVM,3,0.6277372262773723,0.56,0.6666666666666666,0.6406896551724138,0.635036496350365,{'C': 0.1}
Athena,SVM,4,0.635036496350365,0.64,0.632183908045977,0.6172413793103448,0.635036496350365,{'C': 0.01}
Athena,RandomForest,0,0.6159420289855072,0.0,0.9659090909090909,0.6168181818181818,0.6376811594202898,"{'max_depth': 10, 'n_estimators': 300}"
Athena,RandomForest,1,0.6376811594202898,0.08,0.9545454545454546,0.6447727272727273,0.6376811594202898,"{'max_depth': 10, 'n_estimators': 300}"
Athena,RandomForest,2,0.6277372262773723,0.02,0.9770114942528736,0.6542528735632183,0.635036496350365,"{'max_depth': 10, 'n_estimators': 300}"
Athena,RandomForest,3,0.6204379562043796,0.04,0.9540229885057471,0.5544827586206895,0.635036496350365,"{'max_depth': None, 'n_estimators': 300}"
Athena,RandomForest,4,0.6496350364963503,0.08,0.9770114942528736,0.575977011494253,0.635036496350365,"{'max_depth': None, 'n_estimators': 100}"
Athena,MLP,0,0.6884057971014492,0.58,0.75,0.6729545454545456,0.6376811594202898,"{'alpha': 0.0001, 'hidden_layer_sizes': (64,)}"
Athena,MLP,1,0.6159420289855072,0.3,0.7954545454545454,0.6438636363636363,0.6376811594202898,"{'alpha': 0.0001, 'hidden_layer_sizes': (128,)}"
Athena,MLP,2,0.6642335766423357,0.64,0.6781609195402298,0.6579310344827586,0.635036496350365,"{'alpha': 0.0001, 'hidden_layer_sizes': (64,)}"
Athena,MLP,3,0.656934306569343,0.36,0.8275862068965517,0.5988505747126436,0.635036496350365,"{'alpha': 0.0001, 'hidden_layer_sizes': (64,)}"
Athena,MLP,4,0.6642335766423357,0.52,0.7471264367816092,0.6326436781609196,0.635036496350365,"{'alpha': 0.0001, 'hidden_layer_sizes': (128,)}"
NIAK,SVM,0,0.6739130434782609,0.64,0.6931818181818182,0.6829545454545455,0.6376811594202898,{'C': 0.01}
NIAK,SVM,1,0.6231884057971014,0.58,0.6477272727272727,0.6290909090909091,0.6376811594202898,{'C': 0.01}
NIAK,SVM,2,0.6277372262773723,0.52,0.6896551724137931,0.6829885057471264,0.635036496350365,{'C': 0.1}
NIAK,SVM,3,0.5912408759124088,0.64,0.5632183908045977,0.594022988505747,0.635036496350365,{'C': 0.01}
NIAK,SVM,4,0.635036496350365,0.48,0.7241379310344828,0.6832183908045977,0.635036496350365,{'C': 1}
NIAK,RandomForest,0,0.6594202898550725,0.1,0.9772727272727273,0.6315909090909091,0.6376811594202898,"{'max_depth': 10, 'n_estimators': 300}"
NIAK,RandomForest,1,0.6304347826086957,0.1,0.9318181818181818,0.5588636363636363,0.6376811594202898,"{'max_depth': 10, 'n_estimators': 100}"
NIAK,RandomForest,2,0.6423357664233577,0.06,0.9770114942528736,0.5960919540229885,0.635036496350365,"{'max_depth': 10, 'n_estimators': 300}"
NIAK,RandomForest,3,0.6131386861313869,0.12,0.896551724137931,0.5158620689655172,0.635036496350365,"{'max_depth': 10, 'n_estimators': 100}"
NIAK,RandomForest,4,0.6058394160583942,0.04,0.9310344827586207,0.524367816091954,0.635036496350365,"{'max_depth': None, 'n_estimators': 100}"
NIAK,MLP,0,0.6159420289855072,0.5,0.6818181818181818,0.6256818181818182,0.6376811594202898,"{'alpha': 0.001, 'hidden_layer_sizes': (128, 64)}"
NIAK,MLP,1,0.6014492753623188,0.3,0.7727272727272727,0.5161363636363636,0.6376811594202898,"{'alpha': 0.0001, 'hidden_layer_sizes': (128,)}"
NIAK,MLP,2,0.6277372262773723,0.48,0.7126436781609196,0.6381609195402299,0.635036496350365,"{'alpha': 0.001, 'hidden_layer_sizes': (128, 64)}"
NIAK,MLP,3,0.5766423357664233,0.32,0.7241379310344828,0.5273563218390804,0.635036496350365,"{'alpha': 0.001, 'hidden_layer_sizes': (128, 64)}"
NIAK,MLP,4,0.6204379562043796,0.52,0.6781609195402298,0.6045977011494252,0.635036496350365,"{'alpha': 0.001, 'hidden_layer_sizes': (128, 64)}"
